month,town,resale_price
2017-01,SEMBAWANG,363000
2017-01,YISHUN,378000
2017-01,YISHUN,400000
2017-01,YISHUN,410000
2017-01,YISHUN,416000
2017-02,SEMBAWANG,366000
2017-02,SEMBAWANG,390000
2017-02,YISHUN,343000
2017-02,YISHUN,400000
2017-02,YISHUN,403000
2017-02,YISHUN,405000
2017-02,YISHUN,408000
2017-02,YISHUN,460000
2017-02,YISHUN,462500
2017-03,SEMBAWANG,360000
2017-03,SEMBAWANG,365000
2017-03,SEMBAWANG,370888
2017-03,SEMBAWANG,378000
2017-03,WOODLANDS,388000
2017-03,WOODLANDS,420000
2017-03,WOODLANDS,440000
2017-03,YISHUN,381888
2017-03,YISHUN,387888
2017-03,YISHUN,388000
2017-03,YISHUN,390000
2017-03,YISHUN,391888
2017-03,YISHUN,403000
2017-03,YISHUN,405000
2017-03,YISHUN,405000
2017-03,YISHUN,410000
2017-03,YISHUN,410000
2017-03,YISHUN,412000
2017-03,YISHUN,418000
2017-03,YISHUN,418000
2017-03,YISHUN,430000
2017-04,SEMBAWANG,340000
2017-04,SEMBAWANG,342000
2017-04,WOODLANDS,370000
2017-04,WOODLANDS,380000
2017-04,WOODLANDS,386000
2017-04,YISHUN,350000
2017-04,YISHUN,355000
2017-04,YISHUN,365000
2017-04,YISHUN,375000
2017-04,YISHUN,390000
2017-04,YISHUN,395888
2017-04,YISHUN,410000
2017-04,YISHUN,410888
2017-04,YISHUN,420000
2017-04,YISHUN,420000
2017-04,YISHUN,427000
2017-04,YISHUN,440000
2017-05,SEMBAWANG,340000
2017-05,SEMBAWANG,340000
2017-05,SEMBAWANG,362000
2017-05,SEMBAWANG,365000
2017-05,WOODLANDS,366000
2017-05,WOODLANDS,396000
2017-05,WOODLANDS,410000
2017-05,WOODLANDS,435000
2017-05,YISHUN,365000
2017-05,YISHUN,380000
2017-05,YISHUN,380000
2017-05,YISHUN,382000
2017-05,YISHUN,385000
2017-05,YISHUN,385000
2017-05,YISHUN,398000
2017-05,YISHUN,403000
2017-06,SEMBAWANG,390000
2017-06,WOODLANDS,330000
2017-06,WOODLANDS,387000
2017-06,WOODLANDS,395000
2017-06,WOODLANDS,405000
2017-06,WOODLANDS,405000
2017-06,WOODLANDS,410000
2017-06,YISHUN,360000
2017-06,YISHUN,373000
2017-06,YISHUN,373000
2017-06,YISHUN,395000
2017-06,YISHUN,400000
2017-06,YISHUN,408000
2017-06,YISHUN,420000
2017-06,YISHUN,430000
2017-06,YISHUN,430000
2017-06,YISHUN,435000
2017-06,YISHUN,460000
2017-07,SEMBAWANG,362000
2017-07,SEMBAWANG,380000
2017-07,WOODLANDS,400000
2017-07,WOODLANDS,430000
2017-07,YISHUN,353000
2017-07,YISHUN,380000
2017-07,YISHUN,386000
2017-07,YISHUN,398000
2017-07,YISHUN,405000
2017-07,YISHUN,408000
2017-07,YISHUN,409000
2017-07,YISHUN,410000
2017-07,YISHUN,410000
2017-07,YISHUN,416000
2017-07,YISHUN,417000
2017-07,YISHUN,420000
2017-07,YISHUN,420000
2017-07,YISHUN,428000
2017-07,YISHUN,448888
2017-08,SEMBAWANG,340000
2017-08,WOODLANDS,368000
2017-08,WOODLANDS,370000
2017-08,WOODLANDS,380000
2017-08,WOODLANDS,395000
2017-08,WOODLANDS,402000
2017-08,WOODLANDS,405000
2017-08,WOODLANDS,405000
2017-08,WOODLANDS,420888
2017-08,YISHUN,363000
2017-08,YISHUN,375000
2017-08,YISHUN,376000
2017-08,YISHUN,385000
2017-08,YISHUN,395000
2017-08,YISHUN,400000
2017-08,YISHUN,405000
2017-08,YISHUN,415000
2017-08,YISHUN,415000
2017-09,SEMBAWANG,368000
2017-09,WOODLANDS,380000
2017-09,WOODLANDS,390000
2017-09,WOODLANDS,400000
2017-09,YISHUN,358000
2017-09,YISHUN,368000
2017-09,YISHUN,368000
2017-09,YISHUN,372000
2017-09,YISHUN,375000
2017-09,YISHUN,382000
2017-09,YISHUN,390000
2017-09,YISHUN,395000
2017-09,YISHUN,395000
2017-09,YISHUN,405888
2017-09,YISHUN,412000
2017-09,YISHUN,425000
2017-09,YISHUN,435000
2017-10,WOODLANDS,325000
2017-10,WOODLANDS,362000
2017-10,WOODLANDS,365000
2017-10,WOODLANDS,380000
2017-10,WOODLANDS,385000
2017-10,WOODLANDS,399000
2017-10,WOODLANDS,410000
2017-10,YISHUN,378000
2017-10,YISHUN,380000
2017-10,YISHUN,390000
2017-10,YISHUN,400000
2017-10,YISHUN,408000
2017-10,YISHUN,413000
2017-10,YISHUN,418000
2017-10,YISHUN,453000
2017-11,SEMBAWANG,353000
2017-11,WOODLANDS,382000
2017-11,WOODLANDS,383000
2017-11,WOODLANDS,410000
2017-11,WOODLANDS,420000
2017-11,WOODLANDS,430000
2017-11,YISHUN,355000
2017-11,YISHUN,358000
2017-11,YISHUN,365000
2017-11,YISHUN,375888
2017-11,YISHUN,398000
2017-11,YISHUN,400000
2017-11,YISHUN,406000
2017-11,YISHUN,408000
2017-11,YISHUN,408000
2017-11,YISHUN,428000
2017-11,YISHUN,430000
2017-11,YISHUN,435000
2017-11,YISHUN,450000
2017-12,SEMBAWANG,350000
2017-12,SEMBAWANG,350000
2017-12,SEMBAWANG,290000
2017-12,WOODLANDS,375000
2017-12,WOODLANDS,417000
2017-12,WOODLANDS,415000
2017-12,YISHUN,408000
2017-12,YISHUN,370000
2017-12,YISHUN,460000
2017-12,YISHUN,360000
2017-12,YISHUN,369000
2017-12,YISHUN,374000
2017-12,YISHUN,410000
2017-12,YISHUN,388000
2018-01,SEMBAWANG,353000
2018-01,WOODLANDS,385000
2018-01,WOODLANDS,410000
2018-01,WOODLANDS,412888
2018-01,YISHUN,340000
2018-01,YISHUN,360000
2018-01,YISHUN,368000
2018-01,YISHUN,380000
2018-01,YISHUN,385000
2018-02,SEMBAWANG,370000
2018-02,WOODLANDS,375000
2018-02,WOODLANDS,392000
2018-02,WOODLANDS,399000
2018-02,WOODLANDS,408000
2018-02,WOODLANDS,413000
2018-02,WOODLANDS,428000
2018-02,YISHUN,321888
2018-02,YISHUN,350000
2018-02,YISHUN,350000
2018-02,YISHUN,370000
2018-02,YISHUN,375000
2018-02,YISHUN,385000
2018-02,YISHUN,393000
2018-02,YISHUN,409888
2018-03,SEMBAWANG,335000
2018-03,SEMBAWANG,350000
2018-03,SEMBAWANG,370000
2018-03,WOODLANDS,340000
2018-03,WOODLANDS,348000
2018-03,WOODLANDS,354888
2018-03,WOODLANDS,400000
2018-03,WOODLANDS,405000
2018-03,YISHUN,303000
2018-03,YISHUN,350000
2018-03,YISHUN,350000
2018-03,YISHUN,355000
2018-03,YISHUN,355000
2018-03,YISHUN,363000
2018-03,YISHUN,368000
2018-03,YISHUN,375000
2018-03,YISHUN,378000
2018-03,YISHUN,403000
2018-03,YISHUN,408000
2018-04,SEMBAWANG,320000
2018-04,SEMBAWANG,338888
2018-04,WOODLANDS,370000
2018-04,WOODLANDS,390000
2018-04,WOODLANDS,390000
2018-04,WOODLANDS,430000
2018-04,YISHUN,350000
2018-04,YISHUN,358000
2018-04,YISHUN,361000
2018-04,YISHUN,368000
2018-04,YISHUN,370000
2018-04,YISHUN,370000
2018-04,YISHUN,370000
2018-04,YISHUN,373000
2018-04,YISHUN,375000
2018-04,YISHUN,375000
2018-04,YISHUN,405000
2018-04,YISHUN,412000
2018-04,YISHUN,418000
2018-04,YISHUN,445000
2018-05,SEMBAWANG,340000
2018-05,SEMBAWANG,348000
2018-05,SEMBAWANG,355000
2018-05,WOODLANDS,355000
2018-05,WOODLANDS,355000
2018-05,WOODLANDS,378000
2018-05,WOODLANDS,390000
2018-05,WOODLANDS,405000
2018-05,WOODLANDS,408000
2018-05,WOODLANDS,410000
2018-05,WOODLANDS,412000
2018-05,WOODLANDS,425000
2018-05,YISHUN,360000
2018-05,YISHUN,365000
2018-05,YISHUN,365000
2018-05,YISHUN,373000
2018-05,YISHUN,378000
2018-05,YISHUN,400000
2018-05,YISHUN,405000
2018-05,YISHUN,410000
2018-05,YISHUN,418000
2018-05,YISHUN,425888
2018-06,SEMBAWANG,315000
2018-06,WOODLANDS,368000
2018-06,WOODLANDS,375000
2018-06,WOODLANDS,375000
2018-06,WOODLANDS,380888
2018-06,WOODLANDS,385000
2018-06,WOODLANDS,390000
2018-06,WOODLANDS,399888
2018-06,WOODLANDS,400000
2018-06,WOODLANDS,410000
2018-06,WOODLANDS,417000
2018-06,WOODLANDS,419000
2018-06,YISHUN,340000
2018-06,YISHUN,358000
2018-06,YISHUN,380000
2018-06,YISHUN,390000
2018-06,YISHUN,400000
2018-06,YISHUN,405000
2018-06,YISHUN,408000
2018-06,YISHUN,412888
2018-06,YISHUN,413000
2018-06,YISHUN,415000
2018-06,YISHUN,415000
2018-07,SEMBAWANG,323000
2018-07,SEMBAWANG,335000
2018-07,WOODLANDS,345000
2018-07,WOODLANDS,355000
2018-07,WOODLANDS,370000
2018-07,WOODLANDS,380000
2018-07,WOODLANDS,380000
2018-07,WOODLANDS,390000
2018-07,WOODLANDS,390000
2018-07,WOODLANDS,390000
2018-07,WOODLANDS,390000
2018-07,WOODLANDS,405000
2018-07,WOODLANDS,406000
2018-07,WOODLANDS,406888
2018-07,WOODLANDS,409000
2018-07,WOODLANDS,418888
2018-07,WOODLANDS,425000
2018-07,WOODLANDS,435555
2018-07,WOODLANDS,438888
2018-07,WOODLANDS,440000
2018-07,YISHUN,325000
2018-07,YISHUN,330000
2018-07,YISHUN,340000
2018-07,YISHUN,360000
2018-07,YISHUN,368000
2018-07,YISHUN,370000
2018-07,YISHUN,370000
2018-07,YISHUN,380000
2018-07,YISHUN,388000
2018-07,YISHUN,390000
2018-07,YISHUN,390000
2018-07,YISHUN,391888
2018-07,YISHUN,393000
2018-07,YISHUN,395000
2018-07,YISHUN,400000
2018-07,YISHUN,410000
2018-07,YISHUN,440000
2018-08,SEMBAWANG,335000
2018-08,WOODLANDS,345000
2018-08,WOODLANDS,378888
2018-08,WOODLANDS,395000
2018-08,WOODLANDS,400000
2018-08,WOODLANDS,410000
2018-08,WOODLANDS,410000
2018-08,WOODLANDS,420000
2018-08,WOODLANDS,420000
2018-08,WOODLANDS,428000
2018-08,WOODLANDS,435000
2018-08,WOODLANDS,442000
2018-08,WOODLANDS,450000
2018-08,WOODLANDS,470000
2018-08,YISHUN,370000
2018-08,YISHUN,375000
2018-08,YISHUN,375000
2018-08,YISHUN,378000
2018-08,YISHUN,380000
2018-08,YISHUN,380000
2018-08,YISHUN,385000
2018-08,YISHUN,386000
2018-08,YISHUN,390000
2018-08,YISHUN,390000
2018-08,YISHUN,390000
2018-08,YISHUN,392888
