month,town,resale_price
2017-01,PUNGGOL,408000
2017-01,PUNGGOL,415000
2017-01,PUNGGOL,415000
2017-01,PUNGGOL,422800
2017-01,PUNGGOL,424000
2017-01,PUNGGOL,430000
2017-01,PUNGGOL,438000
2017-01,PUNGGOL,439988
2017-01,PUNGGOL,440000
2017-01,PUNGGOL,468000
2017-01,PUNGGOL,470000
2017-01,PUNGGOL,485000
2017-01,PUNGGOL,500000
2017-01,PUNGGOL,508000
2017-01,PUNGGOL,510000
2017-01,PUNGGOL,518000
2017-01,PUNGGOL,520000
2017-01,PUNGGOL,525000
2017-01,PUNGGOL,530000
2017-01,PUNGGOL,538000
2017-01,PUNGGOL,550000
2017-01,PUNGGOL,468000
2017-01,PUNGGOL,470000
2017-01,SENGKANG,390000
2017-01,SENGKANG,393888
2017-01,SENGKANG,415000
2017-01,SENGKANG,420000
2017-01,SENGKANG,421000
2017-01,SENGKANG,422000
2017-01,SENGKANG,428000
2017-01,SENGKANG,430000
2017-01,SENGKANG,430000
2017-01,SENGKANG,435000
2017-01,SENGKANG,435000
2017-01,SENGKANG,439888
2017-01,SENGKANG,440000
2017-01,SENGKANG,445000
2017-01,SENGKANG,445000
2017-01,SENGKANG,450000
2017-01,SENGKANG,450000
2017-01,SENGKANG,455000
2017-01,SENGKANG,475000
2017-01,SENGKANG,483000
2017-01,SENGKANG,490000
2017-01,SENGKANG,495000
2017-01,SENGKANG,530000
2017-01,SENGKANG,555000
2017-02,PUNGGOL,368000
2017-02,PUNGGOL,400000
2017-02,PUNGGOL,408000
2017-02,PUNGGOL,418000
2017-02,PUNGGOL,426000
2017-02,PUNGGOL,426500
2017-02,PUNGGOL,430000
2017-02,PUNGGOL,438000
2017-02,PUNGGOL,440800
2017-02,PUNGGOL,445000
2017-02,PUNGGOL,445000
2017-02,PUNGGOL,465000
2017-02,PUNGGOL,475888
2017-02,PUNGGOL,478000
2017-02,PUNGGOL,480000
2017-02,PUNGGOL,483000
2017-02,PUNGGOL,490000
2017-02,PUNGGOL,493000
2017-02,PUNGGOL,495000
2017-02,PUNGGOL,498000
2017-02,PUNGGOL,500000
2017-02,PUNGGOL,501800
2017-02,PUNGGOL,515000
2017-02,PUNGGOL,516000
2017-02,PUNGGOL,518000
2017-02,PUNGGOL,525000
2017-02,PUNGGOL,535000
2017-02,SENGKANG,405000
2017-02,SENGKANG,406000
2017-02,SENGKANG,410000
2017-02,SENGKANG,412000
2017-02,SENGKANG,415000
2017-02,SENGKANG,420000
2017-02,SENGKANG,422000
2017-02,SENGKANG,422888
2017-02,SENGKANG,425000
2017-02,SENGKANG,435000
2017-02,SENGKANG,443888
2017-02,SENGKANG,445000
2017-02,SENGKANG,445000
2017-02,SENGKANG,448000
2017-02,SENGKANG,460000
2017-02,SENGKANG,475000
2017-02,SENGKANG,488000
2017-02,SENGKANG,500000
2017-02,SENGKANG,500000
2017-02,SENGKANG,520000
2017-02,SENGKANG,542888
2017-03,PUNGGOL,400000
2017-03,PUNGGOL,405000
2017-03,PUNGGOL,415888
2017-03,PUNGGOL,420000
2017-03,PUNGGOL,420000
2017-03,PUNGGOL,425000
2017-03,PUNGGOL,425000
2017-03,PUNGGOL,429000
2017-03,PUNGGOL,430000
2017-03,PUNGGOL,435000
2017-03,PUNGGOL,435000
2017-03,PUNGGOL,435000
2017-03,PUNGGOL,435000
2017-03,PUNGGOL,440000
2017-03,PUNGGOL,445000
2017-03,PUNGGOL,445000
2017-03,PUNGGOL,445000
2017-03,PUNGGOL,445000
2017-03,PUNGGOL,450000
2017-03,PUNGGOL,450888
2017-03,PUNGGOL,452000
2017-03,PUNGGOL,453000
2017-03,PUNGGOL,455000
2017-03,PUNGGOL,455688
2017-03,PUNGGOL,455888
2017-03,PUNGGOL,457888
2017-03,PUNGGOL,458000
2017-03,PUNGGOL,460000
2017-03,PUNGGOL,460000
2017-03,PUNGGOL,461888
2017-03,PUNGGOL,463000
2017-03,PUNGGOL,465000
2017-03,PUNGGOL,465000
2017-03,PUNGGOL,465000
2017-03,PUNGGOL,465000
2017-03,PUNGGOL,465000
2017-03,PUNGGOL,472000
2017-03,PUNGGOL,475000
2017-03,PUNGGOL,480000
2017-03,PUNGGOL,480000
2017-03,PUNGGOL,480000
2017-03,PUNGGOL,480000
2017-03,PUNGGOL,490000
2017-03,PUNGGOL,495000
2017-03,PUNGGOL,498000
2017-03,PUNGGOL,500000
2017-03,PUNGGOL,500000
2017-03,PUNGGOL,508000
2017-03,PUNGGOL,508000
2017-03,PUNGGOL,510000
2017-03,PUNGGOL,510000
2017-03,PUNGGOL,512000
2017-03,PUNGGOL,518000
2017-03,PUNGGOL,518000
2017-03,PUNGGOL,520000
2017-03,PUNGGOL,520000
2017-03,PUNGGOL,522000
2017-03,PUNGGOL,525000
2017-03,PUNGGOL,538000
2017-03,PUNGGOL,560000
2017-03,SENGKANG,360000
2017-03,SENGKANG,370000
2017-03,SENGKANG,395000
2017-03,SENGKANG,395000
2017-03,SENGKANG,408000
2017-03,SENGKANG,408000
2017-03,SENGKANG,412000
2017-03,SENGKANG,412500
2017-03,SENGKANG,415000
2017-03,SENGKANG,418000
2017-03,SENGKANG,421888
2017-03,SENGKANG,422000
2017-03,SENGKANG,427000
2017-03,SENGKANG,430000
2017-03,SENGKANG,430000
2017-03,SENGKANG,430000
2017-03,SENGKANG,430000
2017-03,SENGKANG,430000
2017-03,SENGKANG,432000
2017-03,SENGKANG,433000
2017-03,SENGKANG,435000
2017-03,SENGKANG,435000
2017-03,SENGKANG,435000
2017-03,SENGKANG,436800
2017-03,SENGKANG,437000
2017-03,SENGKANG,440000
2017-03,SENGKANG,440000
2017-03,SENGKANG,443000
2017-03,SENGKANG,450000
2017-03,SENGKANG,452000
2017-03,SENGKANG,468000
2017-03,SENGKANG,495000
2017-03,SENGKANG,505000
2017-03,SENGKANG,505800
2017-03,SENGKANG,510000
2017-03,SENGKANG,510000
2017-03,SENGKANG,513000
2017-03,SENGKANG,518000
2017-03,SENGKANG,520000
2017-03,SENGKANG,523000
2017-03,SENGKANG,523000
2017-03,SENGKANG,528000
2017-03,SENGKANG,530000
2017-03,SENGKANG,533000
2017-03,SENGKANG,540000
2017-03,SENGKANG,548000
2017-03,SENGKANG,468000
2017-04,PUNGGOL,400000
2017-04,PUNGGOL,405000
2017-04,PUNGGOL,407500
2017-04,PUNGGOL,410000
2017-04,PUNGGOL,420000
2017-04,PUNGGOL,420000
2017-04,PUNGGOL,420000
2017-04,PUNGGOL,425000
2017-04,PUNGGOL,427800
2017-04,PUNGGOL,435000
2017-04,PUNGGOL,435000
2017-04,PUNGGOL,435000
