month,town,resale_price
2017-01,BUKIT PANJANG,410000
2017-01,JURONG EAST,450000
2017-01,JURONG EAST,475000
2017-01,JURONG WEST,400000
2017-01,JURONG WEST,470000
2017-01,JURONG WEST,470000
2017-02,BUKIT PANJANG,412000
2017-02,BUKIT PANJANG,413000
2017-02,BUKIT PANJANG,423000
2017-02,CHOA CHU KANG,400000
2017-02,CHOA CHU KANG,403300
2017-02,JURONG EAST,460000
2017-02,JURONG WEST,395000
2017-03,BUKIT PANJANG,405000
2017-03,BUKIT PANJANG,428000
2017-03,CHOA CHU KANG,410000
2017-03,JURONG WEST,386000
2017-03,JURONG WEST,395000
2017-03,JURONG WEST,398000
2017-03,JURONG WEST,413000
2017-03,JURONG WEST,470000
2017-03,JURONG WEST,470000
2017-04,BUKIT PANJANG,370000
2017-04,BUKIT PANJANG,395000
2017-04,BUKIT PANJANG,435000
2017-04,BUKIT PANJANG,455000
2017-04,BUKIT PANJANG,470000
2017-04,BUKIT PANJANG,480000
2017-04,BUKIT PANJANG,470000
2017-04,CHOA CHU KANG,400000
2017-04,JURONG EAST,470000
2017-04,JURONG EAST,470000
2017-04,JURONG WEST,386000
2017-05,BUKIT PANJANG,410000
2017-05,BUKIT PANJANG,438000
2017-05,BUKIT PANJANG,446000
2017-05,BUKIT PANJANG,450000
2017-05,BUKIT PANJANG,450000
2017-05,BUKIT PANJANG,470000
2017-05,BUKIT PANJANG,480000
2017-05,BUKIT PANJANG,470000
2017-05,CHOA CHU KANG,370000
2017-05,CHOA CHU KANG,400000
2017-05,JURONG WEST,394188
2017-05,JURONG WEST,407000
2017-05,JURONG WEST,420000
2017-06,BUKIT PANJANG,420000
2017-06,BUKIT PANJANG,427000
2017-06,BUKIT PANJANG,445200
2017-06,BUKIT PANJANG,455000
2017-06,CHOA CHU KANG,355000
2017-06,CHOA CHU KANG,378000
2017-06,CHOA CHU KANG,400000
2017-06,CHOA CHU KANG,400000
2017-06,CHOA CHU KANG,405000
2017-06,CHOA CHU KANG,408000
2017-06,JURONG EAST,450000
2017-06,JURONG EAST,500000
2017-07,BUKIT PANJANG,375000
2017-07,BUKIT PANJANG,381000
2017-07,BUKIT PANJANG,438000
2017-07,BUKIT PANJANG,448000
2017-07,BUKIT PANJANG,450000
2017-07,BUKIT PANJANG,455000
2017-07,BUKIT PANJANG,460000
2017-07,BUKIT PANJANG,475000
2017-07,CHOA CHU KANG,370000
2017-07,CHOA CHU KANG,380000
2017-07,CHOA CHU KANG,380000
2017-07,JURONG EAST,415000
2017-07,JURONG EAST,465000
2017-07,JURONG WEST,395000
2017-07,JURONG WEST,408000
2017-07,JURONG WEST,450000
2017-08,BUKIT PANJANG,388000
2017-08,BUKIT PANJANG,395000
2017-08,BUKIT PANJANG,413000
2017-08,BUKIT PANJANG,435000
2017-08,BUKIT PANJANG,436888
2017-08,BUKIT PANJANG,448888
2017-08,CHOA CHU KANG,380000
2017-08,CHOA CHU KANG,380000
2017-08,CHOA CHU KANG,396500
2017-08,CHOA CHU KANG,398888
2017-08,JURONG EAST,392500
2017-08,JURONG EAST,440000
2017-08,JURONG EAST,465000
2017-08,JURONG EAST,468000
2017-08,JURONG EAST,468000
2017-08,JURONG WEST,410000
2017-08,JURONG WEST,426000
2017-08,JURONG WEST,445000
2017-08,JURONG WEST,460000
2017-09,BUKIT PANJANG,420000
2017-09,BUKIT PANJANG,420000
2017-09,BUKIT PANJANG,424000
2017-09,BUKIT PANJANG,425000
2017-09,BUKIT PANJANG,430000
2017-09,BUKIT PANJANG,431000
2017-09,BUKIT PANJANG,435000
2017-09,BUKIT PANJANG,438000
2017-09,BUKIT PANJANG,450000
2017-09,BUKIT PANJANG,453000
2017-09,BUKIT PANJANG,460000
2017-09,CHOA CHU KANG,368000
2017-09,JURONG EAST,460000
2017-09,JURONG EAST,480000
2017-10,BUKIT PANJANG,410000
2017-10,BUKIT PANJANG,410000
2017-10,BUKIT PANJANG,420000
2017-10,BUKIT PANJANG,420000
2017-10,BUKIT PANJANG,435000
2017-10,BUKIT PANJANG,442888
2017-10,CHOA CHU KANG,400000
2017-10,JURONG EAST,438000
2017-10,JURONG EAST,488000
2017-10,JURONG EAST,505000
2017-10,JURONG WEST,420000
2017-10,JURONG WEST,439000
2017-10,JURONG WEST,440000
2017-10,JURONG WEST,465000
2017-11,BUKIT PANJANG,400000
2017-11,BUKIT PANJANG,430000
2017-11,BUKIT PANJANG,438000
2017-11,CHOA CHU KANG,385000
2017-11,CHOA CHU KANG,400000
2017-11,CHOA CHU KANG,405000
2017-11,JURONG EAST,320000
2017-11,JURONG EAST,406000
2017-11,JURONG EAST,422000
2017-11,JURONG EAST,430000
2017-11,JURONG WEST,430000
2017-11,JURONG WEST,432000
2017-11,JURONG WEST,448000
2017-12,BUKIT PANJANG,448000
2017-12,BUKIT PANJANG,457000
2017-12,CHOA CHU KANG,386000
2017-12,CHOA CHU KANG,375000
2017-12,CHOA CHU KANG,368000
2017-12,JURONG EAST,470000
2017-12,JURONG EAST,476000
2017-12,JURONG EAST,470000
2018-01,BUKIT PANJANG,400000
2018-01,BUKIT PANJANG,400000
2018-01,BUKIT PANJANG,425000
2018-01,BUKIT PANJANG,445000
2018-01,JURONG EAST,481000
2018-01,JURONG WEST,421000
